,0
329,BBY UN Equity
276,BC UN Equity
44,BCR UN Equity
98,BDK UN Equity
328,BDX UN Equity
355,BEN UN Equity
331,BF/B UN Equity
523,BGEN UQ Equity
321,BGGSQ UN Equity
1030,BHF UW Equity
40,BHI UN Equity
225,BHMSQ UN Equity
339,BIG UN Equity
618,BIIB UQ Equity
709,BIIB UW Equity
1121,BIO UN Equity
43,BK UN Equity
866,BKNG UW Equity
1029,BKR UN Equity
898,BLK UN Equity
41,BLL UN Equity
149,BLS UN Equity
582,BMC UN Equity
322,BMC UQ Equity
856,BMC UW Equity
46,BMS UN Equity
49,BMY UN Equity
102,BNI UN Equity
385,BOL UN Equity
1065,BR UN Equity
550,BRCM UQ Equity
734,BRCM UW Equity
876,BRK/B UN Equity
682,BRL UN Equity
48,BSX UN Equity
737,BTUUQ UN Equity
501,BVSN UQ Equity
894,BWA UN Equity
990,BXLT UN Equity
732,BXP UN Equity
21,C UN Equity
470,CA UN Equity
806,CA UW Equity
337,CAG UN Equity
420,CAH UN Equity
821,CAM UN Equity
364,CAR UN Equity
1114,CARR UN Equity
7,CAT UN Equity
598,CB UN Equity
60,CBE UN Equity
1066,CBOE UF Equity
1033,CBOE UW Equity
743,CBRE UN Equity
56,CCEP UN Equity
928,CCI UN Equity
326,CCK UN Equity
333,CCL UN Equity
277,CCTYQ UN Equity
1045,CDNS UW Equity
1091,CDW UW Equity
1078,CE UN Equity
701,CELG UW Equity
837,CEPH UW Equity
878,CERN UW Equity
841,CF UN Equity
378,CFC UN Equity
1011,CFG UN Equity
875,CFN UN Equity
433,CGP UN Equity
987,CHD UN Equity
724,CHKAQ UN Equity
782,CHRW UW Equity
1007,CHTR UW Equity
317,CI UN Equity
586,CIEN UQ Equity
751,CIEN UW Equity
168,CIN UN Equity
288,CINF UQ Equity
702,CINF UW Equity
629,CITGQ UN Equity
57,CL UN Equity
848,CLF UN Equity
334,CLX UN Equity
58,CMA UN Equity
611,CMCSA UQ Equity
692,CMCSA UW Equity
499,CMCSK UQ Equity
757,CME UN Equity
830,CME UW Equity
900,CMG UN Equity
62,CMI UN Equity
55,CMS UN Equity
472,CMVT UQ Equity
633,CMX UN Equity
1022,CNC UN Equity
198,CNCEQ UN Equity
85,CNP UN Equity
736,CNX UN Equity
197,COC UN Equity
248,COF UN Equity
581,COL UN Equity
1016,COO UN Equity
130,COP UN Equity
484,COST UQ Equity
697,COST UW Equity
1024,COTY UN Equity
785,COV UN Equity
332,CPB UN Equity
992,CPGX UN Equity
520,CPNLQ UN Equity
381,CPPRQ UN Equity
948,CPRI UN Equity
1081,CPRT UW Equity
497,CR UN Equity
833,CRM UN Equity
336,CSC UN Equity
478,CSCO UQ Equity
674,CSCO UW Equity
971,CSRA UN Equity
61,CSX UN Equity
983,CSX UW Equity
584,CTAS UQ Equity
691,CTAS UW Equity
284,CTB UN Equity
1118,CTLT UN Equity
805,CTRA UN Equity
735,CTSH UW Equity
1094,CTVA UN Equity
496,CTXS UQ Equity
668,CTXS UW Equity
879,CVC UN Equity
538,CVG UN Equity
652,CVH UN Equity
104,CVS UN Equity
8,CVX UN Equity
1000,CXO UN Equity
347,D UN Equity
945,DAL UN Equity
409,DALRQ UN Equity
172,DCNAQ UN Equity
1036,DD UN Equity
467,DDS UN Equity
345,DE UN Equity
726,DFODQ UN Equity
797,DFS UN Equity
912,DG UN Equity
604,DGX UN Equity
653,DHI UN Equity
63,DHR UN Equity
306,DIS UN Equity
888,DISCA UW Equity
966,DISCK UW Equity
1056,DISH UW Equity
383,DJ UN Equity
1028,DLR UN Equity
889,DLTR UW Equity
294,DLX UN Equity
861,DNRCQ UN Equity
844,DOFSQ UN Equity
64,DOV UN Equity
1109,DOW UN Equity
180,DPHIQ UN Equity
1123,DPZ UN Equity
1052,DRE UN Equity
454,DRI UN Equity
255,DTE UN Equity
66,DUK UN Equity
822,DVA UN Equity
555,DVN UA Equity
639,DVN UN Equity
1044,DXC UN Equity
1117,DXCM UW Equity
537,DYNIQ UN Equity
612,EA UQ Equity
703,EA UW Equity
614,EBAY UQ Equity
738,EBAY UW Equity
68,ECL UN Equity
59,ED UN Equity
72,EFX UN Equity
299,EHC UN Equity
146,EIX UN Equity
26,EKDKQ UN Equity
729,EL UN Equity
351,EMC UN Equity
246,EMN UN Equity
352,EMR UN Equity
993,ENDP UW Equity
208,ENRNQ UN Equity
502,EOG UN Equity
558,EOP UN Equity
69,EP UN Equity
997,EQIX UW Equity
561,EQR UN Equity
807,EQT UN Equity
843,ES UN Equity
622,ESRX UQ Equity
704,ESRX UW Equity
959,ESS UN Equity
644,ETFC UN Equity
730,ETFC UW Equity
67,ETN UN Equity
71,ETR UN Equity
427,ETS UN Equity
1125,ETSY UW Equity
1023,EVHC UN Equity
1080,EVRG UN Equity
899,EW UN Equity
128,EXC UN Equity
1110,EXC UW Equity
777,EXPD UW Equity
793,EXPE UW Equity
999,EXR UN Equity
74,F UN Equity
1083,FANG UW Equity
802,FAST UW Equity
944,FB UW Equity
192,FBF UN Equity
1002,FBHS UN Equity
76,FCX UN Equity
570,FDO UN Equity
353,FDX UN Equity
251,FE UN Equity
883,FFIV UW Equity
616,FHI UN Equity
597,FHN UN Equity
745,FIS UN Equity
585,FISV UQ Equity
705,FISV UW Equity
289,FITB UQ Equity
706,FITB UW Equity
231,FJ UN Equity
1006,FL UN Equity
863,FLIR UW Equity
531,FLR UN Equity
817,FLS UN Equity
1059,FLT UN Equity
346,FLTWQ UN Equity
73,FMC UN Equity
274,FMCC UN Equity
275,FNMA UN Equity
922,FOSL UW Equity
1098,FOX UW Equity
1097,FOXA UW Equity
230,FPC UN Equity
1095,FRC UN Equity
1020,FRT UN Equity
624,FSH UN Equity
634,FSL/B UN Equity
873,FSLR UW Equity
870,FTI UN Equity
1082,FTNT UW Equity
562,FTRCQ UN Equity
891,FTRCQ UW Equity
1003,FTV UN Equity
348,FWLT US Equity
47,GAPTQ UN Equity
890,GAS UN Equity
527,GBLXQ UN Equity
314,GBLXQ US Equity
78,GD UN Equity
165,GDT UN Equity
154,GDW UN Equity
307,GE UN Equity
565,GENZ UQ Equity
744,GENZ UW Equity
801,GGP UN Equity
775,GHC UN Equity
626,GILD UQ Equity
707,GILD UW Equity
357,GIS UN Equity
164,GL UN Equity
341,GLW UN Equity
933,GM UN Equity
963,GMCR UW Equity
787,GME UN Equity
658,GNW UN Equity
5,GOLD UN Equity
956,GOOG UW Equity
739,GOOGL UW Equity
79,GPC UN Equity
1025,GPN UN Equity
356,GPS UN Equity
209,GPUI UN Equity
80,GR UN Equity
36,GRA UN Equity
930,GRMN UW Equity
605,GS UN Equity
81,GT UN Equity
918,GT UW Equity
157,GTW UN Equity
82,GWW UN Equity
83,HAL UN Equity
677,HAR UN Equity
471,HAS UN Equity
535,HAS US Equity
880,HAS UW Equity
488,HBAN UQ Equity
708,HBAN UW Equity
978,HBI UN Equity
972,HCA UN Equity
784,HCBK UW Equity
309,HD UN Equity
34,HES UN Equity
126,HET UN Equity
1074,HFC UN Equity
250,HIG UN Equity
1079,HII UN Equity
1032,HLT UN Equity
207,HM UN Equity
583,HMA UN Equity
358,HNZ UN Equity
508,HOG UN Equity
1010,HOLX UW Equity
23,HON UN Equity
509,HOT UN Equity
877,HP UN Equity
270,HPC US Equity
973,HPE UN Equity
308,HPQ UN Equity
330,HRB UN Equity
850,HRL UN Equity
144,HSH UN Equity
982,HSIC UW Equity
625,HSP UN Equity
770,HST UN Equity
1122,HST UW Equity
84,HSY UN Equity
86,HUM UN Equity
1012,HWM UN Equity
12,IBM UN Equity
788,ICE UN Equity
1040,IDXX UW Equity
1092,IEX UN Equity
90,IFF UN Equity
440,IKN UN Equity
995,ILMN UW Equity
560,IMNX UQ Equity
200,INCLF UN Equity
1043,INCY UW Equity
1105,INFO UN Equity
1050,INFO UW Equity
