Date,LnShEq,EqMktNtr,DedShBs,GlobalMac ,MngdFut ,EmgMkts,EvntDrvn , CnvrtArb ,FxIncArb ,HFIndex,LRF,MktRF,SMB,HML,RMW,CMA,UMD,BondMkt,CreditS,PTFSBD,PTFSFX,PTFSCOM,LiqPS,LiqSadka,AlphaQuest,Transtrend,VFINX,VEXMX,NAESX,VVIAX,VBINX,VIMSX,VISGX,VISVX,MTUM,TSMOM,TSMOMCM,TSMOMEQ,TSMOMFI,TSMOMFX
1995-04-30,0.0136,0.0227,-0.0037,0.0091,-0.0033,0.0725,0.021,0.0228,0.0202,0.0145,0.0044,0.0211,-0.0022,0.0171,0.0041,0.009,0.0179,-0.0014,0.0004,-0.128,-0.127,0.054,0.0032,0.0009,,2.16%,2.94%,1.79%,2.26%,,1.99%,,,,,-1.04%,1.32%,-7.56%,-0.50%,-1.33%
1995-05-31,0.0203,0.0041,-0.0125,0.0099,-0.047,0.0134,0.0113,0.0165,0.0201,0.0101,0.0054,0.029,-0.0219,0.0229,0.0039,0.0004,-0.0042,-0.0043,0.0003,0.425,-0.144,-0.1,-0.0118,0.0007,,6.49%,3.95%,2.36%,1.87%,,3.66%,,,,,1.09%,-0.94%,0.37%,13.37%,-4.53%
1995-06-30,0.0351,0.0152,-0.0691,-0.0068,-0.0574,0.0078,0.013,0.019,0.0052,0.0037,0.0047,0.0272,0.0306,-0.0254,-0.0033,-0.0244,0.0293,-0.0046,0.0016,0.069,-0.21,0.069,-0.0055,0,,3.63%,2.31%,4.61%,4.92%,,2.12%,,,,,1.03%,2.00%,4.49%,-5.10%,1.61%
1995-07-31,0.0515,0.0055,-0.0594,0.0224,0.0305,0.0222,0.0225,0.0086,0.0112,0.0276,0.0045,0.0372,0.0209,-0.0162,0.003,-0.0165,0.0257,0.0011,0.0003,-0.18,-0.229,-0.227,0.0396,0.0013,,-3.70%,3.31%,5.86%,5.84%,,2.30%,,,,,-1.45%,-1.08%,-0.40%,-2.07%,-2.44%
1995-08-31,0.0226,0.0068,0.0082,0.106,-0.0032,0.0098,0.0154,0.0077,0.0077,0.06,0.0047,0.0055,0.0175,0.0279,-0.0124,0.0162,0.0016,0.0021,-0.0006,-0.119,0.506,-0.095,-0.0214,0.0008,,-0.58%,0.26%,2.57%,2.14%,,1.05%,,,,,-1.56%,-1.51%,-0.66%,6.92%,-9.41%
1995-09-30,0.0111,-0.0057,-0.0293,0.002,-0.0935,0.0188,0.0187,0.0112,0.0104,0.0038,0.0043,0.0335,-0.0188,-0.0004,0.0103,0.0036,0.0291,-0.0029,0.0003,-0.025,0.081,0.005,-0.0769,-0.0002,,1.75%,4.21%,2.71%,1.73%,,2.67%,,,,,4.51%,1.88%,5.55%,7.82%,6.22%
1995-10-31,-0.0182,0.0028,0.0635,0.01,-0.0106,-0.0566,-0.0026,0.0129,0.0114,-0.0011,0.0047,-0.0152,-0.0404,-0.005,0.0191,-0.0005,0.0416,-0.0016,-0.0002,-0.08,-0.18,-0.134,0.0375,0.0011,,-3.81%,-0.36%,-2.71%,-4.34%,,0.00%,,,,,1.76%,0.52%,-3.01%,5.35%,4.82%
1995-11-30,0.0229,0.0029,-0.0097,0.0487,-0.0027,-0.0313,0.0113,0.0231,0.0168,0.0314,0.0042,0.0396,-0.0107,0.0051,-0.0062,0.0112,-0.0068,-0.0011,0.0004,0.057,-0.152,-0.144,0.0092,-0.0029,,2.07%,4.38%,4.13%,3.93%,,3.11%,,,,,3.28%,1.34%,1.26%,15.25%,-1.31%
1995-12-31,0.0209,0.0081,0.0494,0.0405,0.0459,0.0074,0.0218,0.0139,0.0107,0.0306,0.0049,0.0103,0.0072,0.0022,-0.0137,0.031,0.0252,-0.0022,0.0003,0.01,-0.167,0.089,-0.0163,0.0002,,5.70%,1.93%,1.16%,2.80%,,1.47%,,,,,1.56%,1.30%,-0.63%,4.46%,1.32%
1996-01-31,0.0197,0.021,0.0063,0.1046,0.0282,0.0786,0.0349,0.0207,0.0143,0.0697,0.0043,0.0226,-0.0256,0.0038,0.0018,0.0231,0.0054,-0.0006,0.0004,0.029,-0.065,-0.022,0.0285,0.001,,5.38%,3.38%,1.31%,0.18%,,1.94%,,,,,-2.70%,-7.85%,5.06%,3.14%,-3.10%
